id,value
loc,
loc.loc-loc
loc.loc-loc.adjacentBuilding,
loc.loc-loc.administrativeDivision,
loc.loc-loc.administrativeDivision.appliesToJurisdiction,
loc.loc-loc.administrativeDivision.appliesToJurisdiction.appliesToJurisdiction,
loc.loc-loc.administrativeDivision.appliesToJurisdiction.diocese,
loc.loc-loc.administrativeDivision.district,
loc.loc-loc.administrativeDivision.district.electoralDistrict,
loc.loc-loc.capital,
loc.loc-loc.capitalOf,
loc.loc-loc.carries,
loc.loc-loc.childAstronomicalBody,
loc.loc-loc.coextensiveWith,
loc.loc-loc.connectingLine,
loc.loc-loc.connectingService,
loc.loc-loc.connectsWith,
loc.loc-loc.constellation,
loc.loc-loc.contains,
loc.loc-loc.contains.containsAdministrativeTerritorialEntity,
loc.loc-loc.contains.containsSettlement,
loc.loc-loc.continent,
loc.loc-loc.country
loc.loc-loc.country.basinCountry,
loc.loc-loc.country.country,
loc.loc-loc.country.countryOfOrigin,
loc.loc-loc.crosses,
loc.loc-loc.cultureOf,
loc.loc-loc.diplomaticRelation,
loc.loc-loc.drainageBasin,
loc.loc-loc.exclaveOf,
loc.loc-loc.hasPart,
loc.loc-loc.isPartOf,
loc.loc-loc.lakeInflow,
loc.loc-loc.lakeOutflow,
loc.loc-loc.location,
loc.loc-loc.location.deepestPoint,
loc.loc-loc.location.locatedNearbodyOfWater,
loc.loc-loc.location.locatedInProtectedArea,
loc.loc-loc.location.locatedInAdministrativeTerritorialEntity,
loc.loc-loc.location.locatedOnAstronomicalBody,
loc.loc-loc.location.locatedOnStreet,
loc.loc-loc.location.locatedOnTerrainFeature,
loc.loc-loc.location.locatedAt,
loc.loc-loc.location.startPoint,
loc.loc-loc.minorPlanetGroup,
loc.loc-loc.mouthOfWatercourse,
loc.loc-loc.namedAfter,
loc.loc-loc.originOfWatercourse,
loc.loc-loc.parentAstronomicalBody,
loc.loc-loc.partiallyCoincidentWith,
loc.loc-loc.placeServedByTransportHub,
loc.loc-loc.primaryDestinations,
loc.loc-loc.replacedBy,
loc.loc-loc.replaces,
loc.loc-loc.separatedFrom,
loc.loc-loc.sharesBorderWith,
loc.loc-loc.siteOfAstronomicalDiscovery,
loc.loc-loc.station,
loc.loc-loc.station.adjacentStation,
loc.loc-loc.station.interchangeStation,
loc.loc-loc.terminus,
loc.loc-loc.tributary,
loc.loc-org,
loc.loc-org.appliesToJurisdiction,
loc.loc-org.contractor,
loc.loc-org.discoverer,
loc.loc-org.executiveBody,
loc.loc-org.legislativeBody,
loc.loc-org.maintainedBy,
loc.loc-org.namedAfter,
loc.loc-org.occupant,
loc.loc-org.operator,
loc.loc-org.owner,
loc.loc-org.siteOfAstronomicalDiscovery,
loc.loc-per,
loc.loc-per.architect,
loc.loc-per.chairperson,
loc.loc-per.creator,
loc.loc-per.dedicatedTo,
loc.loc-per.designedBy,
loc.loc-per.discoverer,
loc.loc-per.engineer,
loc.loc-per.engineer.structuralEngineer,
loc.loc-per.founder,
loc.loc-per.namedAfter,
loc.loc-per.occupant,
loc.loc-per.officeholder,
loc.loc-per.officeholder.commissionedBy,
loc.loc-per.officeholder.headOfGovernment,
loc.loc-per.officeholder.headOfState,
loc.loc-per.officeholder.manager,
loc.loc-per.owner,
loc.loc-per.patronSaint,
loc.loc-per.representedBy,
